"app_name","avg_lifespan","expected_revenue","marketing_costs","apple_price","play_price","apple_genre","play_genre","a_review_count","apple_content_rating","apple_purchase_price","play_purchase_price"
"PewDiePie's Tuber Simulator",11.0000000000000000,660000.0000000000000000,132000.0000000000000000,0.00,"0","Games","Casual","90851","9+",10000.00,10000.00
"ASOS",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","Shopping","Shopping","9725","4+",10000.00,10000.00
"Cytus",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,1.99,"0","Games","Music","7925","4+",19900.00,10000.00
"Domino's Pizza USA",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","Food & Drink","Food & Drink","258624","4+",10000.00,10000.00
"Egg, Inc.",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","Games","Simulation","79074","4+",10000.00,10000.00
"Fernanfloo",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","Games","Arcade","2886","9+",10000.00,10000.00
"Geometry Dash Lite",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","Games","Arcade","370370","4+",10000.00,10000.00
"H*nest Meditation",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,1.99,"1.99","Entertainment","Lifestyle","55","17+",19900.00,19900.00
"The EO Bar",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,6.99,"6.99","Health & Fitness","Health & Fitness","247","4+",69900.00,69900.00
"The Guardian",10.5000000000000000,630000.0000000000000000,126000.0000000000000000,0.00,"0","News","News & Magazines","8176","12+",10000.00,10000.00
"Adobe Illustrator Draw",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Productivity","Photography","3215","4+",10000.00,10000.00
"Afterlight",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.99,"0","Photo & Video","Photography","14057","4+",10000.00,10000.00
"AJ Jump: Animal Jam Kangaroos!",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,1.99,"1.99","Games","Arcade","834","4+",19900.00,19900.00
"Alizay, pirate girl",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,2.99,"2.99","Book","Casual;Action & Adventure","14","4+",29900.00,29900.00
"Alto's Adventure",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,4.99,"0","Games","Action","7824","9+",49900.00,10000.00
"Angry Birds Blast",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Puzzle","24878","4+",10000.00,10000.00
"Angry Birds Epic RPG",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Role Playing","84680","4+",10000.00,10000.00
"Angry Birds Rio",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Arcade","170843","4+",10000.00,10000.00
"Angry Birds Star Wars",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Arcade","34138","4+",10000.00,10000.00
"Animal Jam - Play Wild!",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Casual;Pretend Play","26990","9+",10000.00,10000.00
"Army of Heroes",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Strategy","1235","12+",10000.00,10000.00
"Asphalt 8: Airborne",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Racing","188568","12+",10000.00,10000.00
"Bad Piggies",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Puzzle","26259","4+",10000.00,10000.00
"Bad Piggies HD",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,0.00,"0","Games","Puzzle","19018","4+",10000.00,10000.00
"Battleheart Legacy",10.0000000000000000,600000.0000000000000000,120000.0000000000000000,4.99,"4.99","Games","Role Playing","3376","12+",49900.00,49900.00
