"app_name","net_profit","expected_revenue","marketing_costs","purchase_price","total_reviews"
"PewDiePie's Tuber Simulator",518000.0,660000.0,132000.0,10000.0,1590317
"Geometry Dash Lite",494000.0,630000.0,126000.0,10000.0,6552010
"Domino's Pizza USA",494000.0,630000.0,126000.0,10000.0,1291559
"Egg, Inc.",494000.0,630000.0,126000.0,10000.0,659234
"Fernanfloo",494000.0,630000.0,126000.0,10000.0,529481
"The Guardian",494000.0,630000.0,126000.0,10000.0,256168
"ASOS",494000.0,630000.0,126000.0,10000.0,191548
"Cytus",484100.0,630000.0,126000.0,19900.0,549657
"WhatsApp Messenger",470000.0,600000.0,120000.0,10000.0,69406905
"Instagram",470000.0,600000.0,120000.0,10000.0,68739004
"Clash of Clans",470000.0,600000.0,120000.0,10000.0,47024693
"Subway Surfers",470000.0,600000.0,120000.0,10000.0,28431462
"Clash Royale",470000.0,600000.0,120000.0,10000.0,23403656
"Candy Crush Saga",470000.0,600000.0,120000.0,10000.0,23391982
"My Talking Tom",470000.0,600000.0,120000.0,10000.0,15016328
"Shadow Fight 2",470000.0,600000.0,120000.0,10000.0,11081056
"Hay Day",470000.0,600000.0,120000.0,10000.0,10620530
"Pou",470000.0,600000.0,120000.0,10000.0,10489801
"My Talking Angela",470000.0,600000.0,120000.0,10000.0,9937916
"Hill Climb Racing",470000.0,600000.0,120000.0,10000.0,9032030
"Asphalt 8: Airborne",470000.0,600000.0,120000.0,10000.0,8578282
"Temple Run 2",470000.0,600000.0,120000.0,10000.0,8414365
"Farm Heroes Saga",470000.0,600000.0,120000.0,10000.0,7803225
"PicsArt Photo Studio: Collage Maker & Pic Editor",470000.0,600000.0,120000.0,10000.0,7623637
"Trivia Crack",470000.0,600000.0,120000.0,10000.0,6821242
"Wish - Shopping Made Fun",470000.0,600000.0,120000.0,10000.0,6354041
"Candy Crush Soda Saga",470000.0,600000.0,120000.0,10000.0,6332489
"Hungry Shark Evolution",470000.0,600000.0,120000.0,10000.0,6158411
"Boom Beach",470000.0,600000.0,120000.0,10000.0,5833582
"Temple Run",470000.0,600000.0,120000.0,10000.0,5724979
"Score! Hero",470000.0,600000.0,120000.0,10000.0,5505071
"Fruit Ninja®",470000.0,600000.0,120000.0,10000.0,5418473
"Traffic Racer",470000.0,600000.0,120000.0,10000.0,5410239
"Pinterest",470000.0,600000.0,120000.0,10000.0,5367065
"Jetpack Joyride",470000.0,600000.0,120000.0,10000.0,5043810
"Zombie Tsunami",470000.0,600000.0,120000.0,10000.0,4952762
"ROBLOX",470000.0,600000.0,120000.0,10000.0,4634511
"Township",470000.0,600000.0,120000.0,10000.0,4532118
"SimCity BuildIt",470000.0,600000.0,120000.0,10000.0,4416925
"Smash Hit",470000.0,600000.0,120000.0,10000.0,4273951
"Sonic Dash",470000.0,600000.0,120000.0,10000.0,4196954
"Bible",470000.0,600000.0,120000.0,10000.0,3426615
"Need for Speed™ No Limits",470000.0,600000.0,120000.0,10000.0,3379298
"Cooking Fever",470000.0,600000.0,120000.0,10000.0,3305973
"War Robots",470000.0,600000.0,120000.0,10000.0,3170373
"MORTAL KOMBAT X",470000.0,600000.0,120000.0,10000.0,3154364
"Injustice: Gods Among Us",470000.0,600000.0,120000.0,10000.0,3053409
"Fallout Shelter",470000.0,600000.0,120000.0,10000.0,2921319
"Hill Climb Racing 2",470000.0,600000.0,120000.0,10000.0,2784499
"Angry Birds Rio",470000.0,600000.0,120000.0,10000.0,2781523
"Angry Birds Epic RPG",470000.0,600000.0,120000.0,10000.0,2719285
"MARVEL Contest of Champions",470000.0,600000.0,120000.0,10000.0,2702514
"MARVEL Future Fight",470000.0,600000.0,120000.0,10000.0,2374948
"Fishdom",470000.0,600000.0,120000.0,10000.0,2197797
"Summoners War",470000.0,600000.0,120000.0,10000.0,2182676
"Swamp Attack",470000.0,600000.0,120000.0,10000.0,2136203
"Microsoft Word",470000.0,600000.0,120000.0,10000.0,2132125
"Episode - Choose Your Story",470000.0,600000.0,120000.0,10000.0,1998284
"Toy Blast",470000.0,600000.0,120000.0,10000.0,1965404
"Real Basketball",470000.0,600000.0,120000.0,10000.0,1803317
"Call of Duty®: Heroes",470000.0,600000.0,120000.0,10000.0,1783562
"Geometry Dash Meltdown",470000.0,600000.0,120000.0,10000.0,1708599
"Flow Free",470000.0,600000.0,120000.0,10000.0,1669482
"My Horse",470000.0,600000.0,120000.0,10000.0,1627195
"Frozen Free Fall",470000.0,600000.0,120000.0,10000.0,1625139
"Star Wars™: Galaxy of Heroes",470000.0,600000.0,120000.0,10000.0,1583958
"Photo Editor by Aviary",470000.0,600000.0,120000.0,10000.0,1530233
"Doodle Jump",470000.0,600000.0,120000.0,10000.0,1478832
"Red Ball 4",470000.0,600000.0,120000.0,10000.0,1442265
"Yahoo Weather",470000.0,600000.0,120000.0,10000.0,1424640
"Chase Mobile",470000.0,600000.0,120000.0,10000.0,1408871
"The Sims™ FreePlay",470000.0,600000.0,120000.0,10000.0,1378475
"Hungry Shark World",470000.0,600000.0,120000.0,10000.0,1267074
"Angry Birds Star Wars",470000.0,600000.0,120000.0,10000.0,1252193
"Bad Piggies",470000.0,600000.0,120000.0,10000.0,1195218
"Rolling Sky",470000.0,600000.0,120000.0,10000.0,1147882
"Microsoft Excel",470000.0,600000.0,120000.0,10000.0,1104046
"Zombie Catchers",470000.0,600000.0,120000.0,10000.0,1007601
"Solitaire",470000.0,600000.0,120000.0,10000.0,933313
"Solitaire",470000.0,600000.0,120000.0,10000.0,933313
"Google Docs",470000.0,600000.0,120000.0,10000.0,880240
"Choices: Stories You Play",470000.0,600000.0,120000.0,10000.0,841036
"Plants vs. Zombies™ 2",470000.0,600000.0,120000.0,10000.0,835026
"PES CLUB MANAGER",470000.0,600000.0,120000.0,10000.0,786241
"Bad Piggies HD",470000.0,600000.0,120000.0,10000.0,783985
"FINAL FANTASY BRAVE EXVIUS",470000.0,600000.0,120000.0,10000.0,773871
"Geometry Dash World",470000.0,600000.0,120000.0,10000.0,765742
"Starbucks",470000.0,600000.0,120000.0,10000.0,759352
"Talking Tom Bubble Shooter",470000.0,600000.0,120000.0,10000.0,689795
"Inside Out Thought Bubbles",470000.0,600000.0,120000.0,10000.0,645279
"Bullet Force",470000.0,600000.0,120000.0,10000.0,643448
"Xbox",470000.0,600000.0,120000.0,10000.0,628846
"Design Home",470000.0,600000.0,120000.0,10000.0,563229
"Disney Crossy Road",470000.0,600000.0,120000.0,10000.0,552659
"Hot Wheels: Race Off",470000.0,600000.0,120000.0,10000.0,523795
"Google Sheets",470000.0,600000.0,120000.0,10000.0,521001
"Microsoft OneNote",470000.0,600000.0,120000.0,10000.0,520281
"Real Racing 3",470000.0,600000.0,120000.0,10000.0,518937
"YouTube Kids",470000.0,600000.0,120000.0,10000.0,499273
"Nyan Cat: Lost In Space",470000.0,600000.0,120000.0,10000.0,447710
"Dude Perfect 2",470000.0,600000.0,120000.0,10000.0,430009
"Hitman Sniper",470000.0,600000.0,120000.0,10000.0,416744
"Plants vs. Zombies™ Heroes",470000.0,600000.0,120000.0,10000.0,395720
"Animal Jam - Play Wild!",470000.0,600000.0,120000.0,10000.0,388960
"Bejeweled Classic",470000.0,600000.0,120000.0,10000.0,386360
"The CW",470000.0,600000.0,120000.0,10000.0,385577
"GroupMe",470000.0,600000.0,120000.0,10000.0,359021
"Discord - Chat for Gamers",470000.0,600000.0,120000.0,10000.0,314499
"Angry Birds Blast",470000.0,600000.0,120000.0,10000.0,277993
"GMX Mail",470000.0,600000.0,120000.0,10000.0,258658
"Narcos: Cartel Wars",470000.0,600000.0,120000.0,10000.0,249287
"WGT Golf Game by Topgolf",470000.0,600000.0,120000.0,10000.0,201368
"Verizon Cloud",470000.0,600000.0,120000.0,10000.0,192114
"ClassDojo",470000.0,600000.0,120000.0,10000.0,183990
"Pineapple Pen",470000.0,600000.0,120000.0,10000.0,163694
"Gear.Club - True Racing",470000.0,600000.0,120000.0,10000.0,143451
"Star Chart",470000.0,600000.0,120000.0,10000.0,142290
"DoorDash - Food Delivery",470000.0,600000.0,120000.0,10000.0,130451
"Earn to Die 2",460100.0,600000.0,120000.0,19900.0,1330341
"Fruit Ninja Classic",460100.0,600000.0,120000.0,19900.0,783984
"Dragon Hills",460100.0,600000.0,120000.0,19900.0,359881
