"app_name","avg_lifespan","expected_revenue","marketing_costs","apple_price","play_price","apple_genre","play_genre","a_review_count","apple_content_rating","apple_price-2","play_price-2"
"PewDiePie's Tuber Simulator",11.0,660000.0,132000.0,0.0,"0","Games","Casual","90851","9+",10000.0,10000.0
"ASOS",10.5,630000.0,126000.0,0.0,"0","Shopping","Shopping","9725","4+",10000.0,10000.0
"Cytus",10.5,630000.0,126000.0,1.99,"0","Games","Music","7925","4+",19900.0,10000.0
"Domino's Pizza USA",10.5,630000.0,126000.0,0.0,"0","Food & Drink","Food & Drink","258624","4+",10000.0,10000.0
"Egg, Inc.",10.5,630000.0,126000.0,0.0,"0","Games","Simulation","79074","4+",10000.0,10000.0
"Fernanfloo",10.5,630000.0,126000.0,0.0,"0","Games","Arcade","2886","9+",10000.0,10000.0
"Geometry Dash Lite",10.5,630000.0,126000.0,0.0,"0","Games","Arcade","370370","4+",10000.0,10000.0
"H*nest Meditation",10.5,630000.0,126000.0,1.99,"1.99","Entertainment","Lifestyle","55","17+",19900.0,19900.0
"The EO Bar",10.5,630000.0,126000.0,6.99,"6.99","Health & Fitness","Health & Fitness","247","4+",69900.0,69900.0
"The Guardian",10.5,630000.0,126000.0,0.0,"0","News","News & Magazines","8176","12+",10000.0,10000.0
"Adobe Illustrator Draw",10.0,600000.0,120000.0,0.0,"0","Productivity","Photography","3215","4+",10000.0,10000.0
"Afterlight",10.0,600000.0,120000.0,0.99,"0","Photo & Video","Photography","14057","4+",10000.0,10000.0
"AJ Jump: Animal Jam Kangaroos!",10.0,600000.0,120000.0,1.99,"1.99","Games","Arcade","834","4+",19900.0,19900.0
"Alizay, pirate girl",10.0,600000.0,120000.0,2.99,"2.99","Book","Casual;Action & Adventure","14","4+",29900.0,29900.0
"Alto's Adventure",10.0,600000.0,120000.0,4.99,"0","Games","Action","7824","9+",49900.0,10000.0
"Angry Birds Blast",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","24878","4+",10000.0,10000.0
"Angry Birds Epic RPG",10.0,600000.0,120000.0,0.0,"0","Games","Role Playing","84680","4+",10000.0,10000.0
"Angry Birds Rio",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","170843","4+",10000.0,10000.0
"Angry Birds Star Wars",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","34138","4+",10000.0,10000.0
"Animal Jam - Play Wild!",10.0,600000.0,120000.0,0.0,"0","Games","Casual;Pretend Play","26990","9+",10000.0,10000.0
"Army of Heroes",10.0,600000.0,120000.0,0.0,"0","Games","Strategy","1235","12+",10000.0,10000.0
"Asphalt 8: Airborne",10.0,600000.0,120000.0,0.0,"0","Games","Racing","188568","12+",10000.0,10000.0
"Bad Piggies",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","26259","4+",10000.0,10000.0
"Bad Piggies HD",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","19018","4+",10000.0,10000.0
"Battleheart Legacy",10.0,600000.0,120000.0,4.99,"4.99","Games","Role Playing","3376","12+",49900.0,49900.0
"Bejeweled Classic",10.0,600000.0,120000.0,0.0,"0","Games","Casual","183259","4+",10000.0,10000.0
"Bible",10.0,600000.0,120000.0,0.0,"0","Reference","Books & Reference","985920","4+",10000.0,10000.0
"Bloons TD 5",10.0,600000.0,120000.0,2.99,"2.99","Games","Strategy","42078","9+",29900.0,29900.0
"Boom Beach",10.0,600000.0,120000.0,0.0,"0","Games","Strategy","241929","9+",10000.0,10000.0
"Bullet Force",10.0,600000.0,120000.0,0.0,"0","Games","Action","9289","17+",10000.0,10000.0
"Call of Duty®: Heroes",10.0,600000.0,120000.0,0.0,"0","Games","Action","179416","12+",10000.0,10000.0
"Candy Crush Saga",10.0,600000.0,120000.0,0.0,"0","Games","Casual","961794","4+",10000.0,10000.0
"Candy Crush Soda Saga",10.0,600000.0,120000.0,0.0,"0","Games","Casual","133394","4+",10000.0,10000.0
"Chase Mobile",10.0,600000.0,120000.0,0.0,"0","Finance","Finance","34322","4+",10000.0,10000.0
"Choices: Stories You Play",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","33698","12+",10000.0,10000.0
"Clash of Clans",10.0,600000.0,120000.0,0.0,"0","Games","Strategy","2130805","9+",10000.0,10000.0
"Clash Royale",10.0,600000.0,120000.0,0.0,"0","Games","Strategy","266921","9+",10000.0,10000.0
"ClassDojo",10.0,600000.0,120000.0,0.0,"0","Education","Education;Education","35440","4+",10000.0,10000.0
"Cooking Fever",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","107797","4+",10000.0,10000.0
"Design Home",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","23298","4+",10000.0,10000.0
"Discord - Chat for Gamers",10.0,600000.0,120000.0,0.0,"0","Social Networking","Communication","9152","4+",10000.0,10000.0
"Disney Crossy Road",10.0,600000.0,120000.0,0.0,"0","Games","Arcade;Action & Adventure","38571","4+",10000.0,10000.0
"Doodle Jump",10.0,600000.0,120000.0,0.99,"0","Games","Arcade","395261","4+",10000.0,10000.0
"DoorDash - Food Delivery",10.0,600000.0,120000.0,0.0,"0","Food & Drink","Food & Drink","25947","4+",10000.0,10000.0
"Dr. Panda & Toto's Treehouse",10.0,600000.0,120000.0,3.99,"3.99","Entertainment","Casual;Pretend Play","455","4+",39900.0,39900.0
"Dragon Hills",10.0,600000.0,120000.0,1.99,"0","Games","Action","5508","9+",19900.0,10000.0
"Dude Perfect",10.0,600000.0,120000.0,0.99,"0","Games","Sports","9763","4+",10000.0,10000.0
"Dude Perfect 2",10.0,600000.0,120000.0,0.0,"0","Games","Action","28361","4+",10000.0,10000.0
"Earn to Die 2",10.0,600000.0,120000.0,1.99,"0","Games","Racing","3072","12+",19900.0,10000.0
"Episode - Choose Your Story",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","155903","12+",10000.0,10000.0
"F-Sim Space Shuttle",10.0,600000.0,120000.0,4.99,"4.99","Games","Simulation","6403","4+",49900.0,49900.0
"Fallout Shelter",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","199396","12+",10000.0,10000.0
"Farm Heroes Saga",10.0,600000.0,120000.0,0.0,"0","Games","Casual","187579","4+",10000.0,10000.0
"FINAL FANTASY BRAVE EXVIUS",10.0,600000.0,120000.0,0.0,"0","Games","Role Playing","28187","12+",10000.0,10000.0
"FINAL FANTASY V",10.0,600000.0,120000.0,14.99,"7.99","Games","Role Playing","1808","9+",149900.0,79900.0
"Fishdom",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","39217","4+",10000.0,10000.0
"Five Nights at Freddy's",10.0,600000.0,120000.0,2.99,"2.99","Games","Action","27388","12+",29900.0,29900.0
"Five Nights at Freddy's 2",10.0,600000.0,120000.0,2.99,"2.99","Games","Strategy","18107","12+",29900.0,29900.0
"Five Nights at Freddy's 3",10.0,600000.0,120000.0,2.99,"2.99","Games","Action","9876","12+",29900.0,29900.0
"Flow Free",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle","373857","4+",10000.0,10000.0
"Frozen Free Fall",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle;Action & Adventure","50593","4+",10000.0,10000.0
"Fruit Ninja Classic",10.0,600000.0,120000.0,1.99,"0.99","Games","Arcade","698516","4+",19900.0,10000.0
"Fruit Ninja®",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","327025","4+",10000.0,10000.0
"Fuel Rewards® program",10.0,600000.0,120000.0,0.0,"0","Shopping","Lifestyle","2249","4+",10000.0,10000.0
"Gear.Club - True Racing",10.0,600000.0,120000.0,0.0,"0","Games","Racing","2793","4+",10000.0,10000.0
"Geometry Dash Meltdown",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","117470","4+",10000.0,10000.0
"Geometry Dash World",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","5114","4+",10000.0,10000.0
"GMX Mail",10.0,600000.0,120000.0,0.0,"0","Productivity","Communication","102","4+",10000.0,10000.0
"Google Docs",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","64259","4+",10000.0,10000.0
"Google Sheets",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","24602","4+",10000.0,10000.0
"GroupMe",10.0,600000.0,120000.0,0.0,"0","Social Networking","Communication","28260","4+",10000.0,10000.0
"Hay Day",10.0,600000.0,120000.0,0.0,"0","Games","Casual","567344","4+",10000.0,10000.0
"Hill Climb Racing",10.0,600000.0,120000.0,0.0,"0","Games","Racing","108183","9+",10000.0,10000.0
"Hill Climb Racing 2",10.0,600000.0,120000.0,0.0,"0","Games","Racing","33854","9+",10000.0,10000.0
"Hitman GO",10.0,600000.0,120000.0,4.99,"0.99","Games","Puzzle","8673","9+",49900.0,10000.0
"Hitman Sniper",10.0,600000.0,120000.0,0.99,"0.99","Games","Action","8452","17+",10000.0,10000.0
"Hot Wheels: Race Off",10.0,600000.0,120000.0,0.0,"0","Games","Racing;Action & Adventure","3141","4+",10000.0,10000.0
"Hungry Shark Evolution",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","83784","12+",10000.0,10000.0
"Hungry Shark World",10.0,600000.0,120000.0,0.0,"0","Games","Action","24057","12+",10000.0,10000.0
"Injustice: Gods Among Us",10.0,600000.0,120000.0,0.0,"0","Games","Action","612532","12+",10000.0,10000.0
"Inside Out Thought Bubbles",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle;Brain Games","21881","4+",10000.0,10000.0
"Instagram",10.0,600000.0,120000.0,0.0,"0","Photo & Video","Social","2161558","12+",10000.0,10000.0
"Jetpack Joyride",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","405647","9+",10000.0,10000.0
"MARVEL Contest of Champions",10.0,600000.0,120000.0,0.0,"0","Games","Action","233599","12+",10000.0,10000.0
"MARVEL Future Fight",10.0,600000.0,120000.0,0.0,"0","Games","Role Playing","20906","9+",10000.0,10000.0
"Microsoft Excel",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","24430","4+",10000.0,10000.0
"Microsoft OneNote",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","39638","4+",10000.0,10000.0
"Microsoft Word",10.0,600000.0,120000.0,0.0,"0","Productivity","Productivity","47999","4+",10000.0,10000.0
"MORTAL KOMBAT X",10.0,600000.0,120000.0,0.0,"0","Games","Action","114475","17+",10000.0,10000.0
"My Horse",10.0,600000.0,120000.0,0.0,"0","Games","Casual","293857","4+",10000.0,10000.0
"My Movies Pro - Movie & TV Collection Library",10.0,600000.0,120000.0,7.99,"7.99","Catalogs","Lifestyle","1309","12+",79900.0,79900.0
"My Talking Angela",10.0,600000.0,120000.0,0.0,"0","Games","Casual","54549","4+",10000.0,10000.0
"My Talking Pet",10.0,600000.0,120000.0,1.99,"4.99","Entertainment","Entertainment","9035","4+",19900.0,49900.0
"My Talking Tom",10.0,600000.0,120000.0,0.0,"0","Games","Casual","123859","4+",10000.0,10000.0
"Narcos: Cartel Wars",10.0,600000.0,120000.0,0.0,"0","Games","Strategy","4490","12+",10000.0,10000.0
"Need for Speed™ No Limits",10.0,600000.0,120000.0,0.0,"0","Games","Racing","34998","4+",10000.0,10000.0
"Nyan Cat: Lost In Space",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","76392","4+",10000.0,10000.0
"OK K.O.! Lakewood Plaza Turbo",10.0,600000.0,120000.0,0.0,"0","Games","Action;Action & Adventure","430","9+",10000.0,10000.0
"PAC-MAN Pop",10.0,600000.0,120000.0,0.0,"0","Games","Puzzle;Action & Adventure","1000","4+",10000.0,10000.0
"PES CLUB MANAGER",10.0,600000.0,120000.0,0.0,"0","Games","Sports","3216","4+",10000.0,10000.0
"Photo Editor-",10.0,600000.0,120000.0,0.0,"0","Photo & Video","Photography","9095","4+",10000.0,10000.0
"Photo Editor by Aviary",10.0,600000.0,120000.0,0.0,"0","Photo & Video","Photography","39501","12+",10000.0,10000.0
"PicsArt Photo Studio: Collage Maker & Pic Editor",10.0,600000.0,120000.0,0.0,"0","Photo & Video","Photography","29078","12+",10000.0,10000.0
"Pineapple Pen",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","6430","4+",10000.0,10000.0
"Pinterest",10.0,600000.0,120000.0,0.0,"0","Social Networking","Social","1061624","12+",10000.0,10000.0
"Plants vs. Zombies™ 2",10.0,600000.0,120000.0,0.0,"0","Games","Casual","267394","9+",10000.0,10000.0
"Plants vs. Zombies™ Heroes",10.0,600000.0,120000.0,0.0,"0","Games","Casual;Action & Adventure","16305","9+",10000.0,10000.0
"Pocket Yoga",10.0,600000.0,120000.0,2.99,"2.99","Health & Fitness","Health & Fitness","4475","4+",29900.0,29900.0
"Pou",10.0,600000.0,120000.0,0.0,"0","Games","Casual","3783","4+",10000.0,10000.0
"Real Basketball",10.0,600000.0,120000.0,0.0,"0","Games","Sports","198050","4+",10000.0,10000.0
"Real Racing 3",10.0,600000.0,120000.0,0.0,"0","Games","Racing;Action & Adventure","164483","4+",10000.0,10000.0
"Red Ball 4",10.0,600000.0,120000.0,0.99,"0","Games","Arcade","9818","4+",10000.0,10000.0
"Regal Cinemas",10.0,600000.0,120000.0,0.0,"0","Entertainment","Entertainment","13257","4+",10000.0,10000.0
"Retro City Rampage DX",10.0,600000.0,120000.0,4.99,"2.99","Games","Action","68","12+",49900.0,29900.0
"Riptide GP: Renegade",10.0,600000.0,120000.0,2.99,"2.99","Games","Racing","412","9+",29900.0,29900.0
"ROBLOX",10.0,600000.0,120000.0,0.0,"0","Games","Adventure;Action & Adventure","183621","12+",10000.0,10000.0
"Rolling Sky",10.0,600000.0,120000.0,0.0,"0","Games","Board","30670","4+",10000.0,10000.0
"Score! Hero",10.0,600000.0,120000.0,0.0,"0","Games","Sports","85395","4+",10000.0,10000.0
"Seven - 7 Minute Workout Training Challenge",10.0,600000.0,120000.0,0.0,"0","Health & Fitness","Health & Fitness","6808","4+",10000.0,10000.0
"Shadow Fight 2",10.0,600000.0,120000.0,0.0,"0","Games","Action","99206","12+",10000.0,10000.0
"SimCity BuildIt",10.0,600000.0,120000.0,0.0,"0","Games","Simulation","198338","4+",10000.0,10000.0
"Smash Hit",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","126233","4+",10000.0,10000.0
"Smashy Road: Arena",10.0,600000.0,120000.0,0.0,"0","Games","Action","3207","9+",10000.0,10000.0
"Solitaire",10.0,600000.0,120000.0,0.0,"0","Games","Card","679055","4+",10000.0,10000.0
"Solitaire",10.0,600000.0,120000.0,0.0,"0","Games","Card;Brain Games","679055","4+",10000.0,10000.0
"Sonic Dash",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","418033","4+",10000.0,10000.0
"Star Chart",10.0,600000.0,120000.0,0.0,"0","Education","Education;Education","13482","4+",10000.0,10000.0
"Star Wars™: Galaxy of Heroes",10.0,600000.0,120000.0,0.0,"0","Games","Role Playing","122260","9+",10000.0,10000.0
"Starbucks",10.0,600000.0,120000.0,0.0,"0","Food & Drink","Food & Drink","303856","4+",10000.0,10000.0
"Subway Surfers",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","706110","9+",10000.0,10000.0
"Summoners War",10.0,600000.0,120000.0,0.0,"0","Games","Role Playing","137122","12+",10000.0,10000.0
"Super Jabber Jump",10.0,600000.0,120000.0,0.0,"0","Games","Arcade","612","4+",10000.0,10000.0
