app_name,joint_lifespan,expected_revenue,apple_price,play_price,apple_genre,play_genre,apple_purchase_price,play_purchase_price,,,,
PewDiePie's Tuber Simulator,22,1320000,0,0,Games,Casual,10000,10000,,,,#NAME?
ASOS,21,1260000,0,0,Shopping,Shopping,10000,10000,,,,
Domino's Pizza USA,21,1260000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
"Egg, Inc.",21,1260000,0,0,Games,Simulation,10000,10000,,,,
Fernanfloo,21,1260000,0,0,Games,Arcade,10000,10000,,,,
Geometry Dash Lite,21,1260000,0,0,Games,Arcade,10000,10000,,,,
The Guardian,21,1260000,0,0,News,News & Magazines,10000,10000,,,,
Adobe Illustrator Draw,20,1200000,0,0,Productivity,Photography,10000,10000,,,,
Afterlight,20,1200000,0.99,0,Photo & Video,Photography,10000,10000,,,,
Angry Birds Blast,20,1200000,0,0,Games,Puzzle,10000,10000,,,,
Angry Birds Epic RPG,20,1200000,0,0,Games,Role Playing,10000,10000,,,,
Angry Birds Rio,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Angry Birds Star Wars,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Animal Jam - Play Wild!,20,1200000,0,0,Games,Casual;Pretend Play,10000,10000,,,,
Army of Heroes,20,1200000,0,0,Games,Strategy,10000,10000,,,,
Asphalt 8: Airborne,20,1200000,0,0,Games,Racing,10000,10000,,,,
Bad Piggies,20,1200000,0,0,Games,Puzzle,10000,10000,,,,
Bad Piggies HD,20,1200000,0,0,Games,Puzzle,10000,10000,,,,
Bejeweled Classic,20,1200000,0,0,Games,Casual,10000,10000,,,,
Bible,20,1200000,0,0,Reference,Books & Reference,10000,10000,,,,
Boom Beach,20,1200000,0,0,Games,Strategy,10000,10000,,,,
Bullet Force,20,1200000,0,0,Games,Action,10000,10000,,,,
Call of Duty®: Heroes,20,1200000,0,0,Games,Action,10000,10000,,,,
Candy Crush Saga,20,1200000,0,0,Games,Casual,10000,10000,,,,
Candy Crush Soda Saga,20,1200000,0,0,Games,Casual,10000,10000,,,,
Chase Mobile,20,1200000,0,0,Finance,Finance,10000,10000,,,,
Choices: Stories You Play,20,1200000,0,0,Games,Simulation,10000,10000,,,,
Clash of Clans,20,1200000,0,0,Games,Strategy,10000,10000,,,,
Clash Royale,20,1200000,0,0,Games,Strategy,10000,10000,,,,
ClassDojo,20,1200000,0,0,Education,Education;Education,10000,10000,,,,
Cooking Fever,20,1200000,0,0,Games,Arcade,10000,10000,,,,
Design Home,20,1200000,0,0,Games,Simulation,10000,10000,,,,
Discord - Chat for Gamers,20,1200000,0,0,Social Networking,Communication,10000,10000,,,,
Disney Crossy Road,20,1200000,0,0,Games,Arcade;Action & Adventure,10000,10000,,,,
Doodle Jump,20,1200000,0.99,0,Games,Arcade,10000,10000,,,,
DoorDash - Food Delivery,20,1200000,0,0,Food & Drink,Food & Drink,10000,10000,,,,
Dude Perfect,20,1200000,0.99,0,Games,Sports,10000,10000,,,,
Dude Perfect 2,20,1200000,0,0,Games,Action,10000,10000,,,,
Episode - Choose Your Story,20,1200000,0,0,Games,Simulation,10000,10000,,,,
Fallout Shelter,20,1200000,0,0,Games,Simulation,10000,10000,,,,
Farm Heroes Saga,20,1200000,0,0,Games,Casual,10000,10000,,,,
FINAL FANTASY BRAVE EXVIUS,20,1200000,0,0,Games,Role Playing,10000,10000,,,,
